Tissue,Description,ZScore,MeanExp,Breadth,CV,NeighborMeanBreadth,NeighborMeanZscore,Label,Probability,,"Supplementary Table S2. Mouse knock out genes with phenotypes in 6 tissues. 191 genes whose germline deletion result in phenotypic aberration that could be unambiguously ascribed to one of the 6 tissues - Heart, Breast, Thyroid, Muscle, Lung, and Ovary. The tables shows a few key feature values for these genes and the overall score for tissue relevance as computed by FUGUE. ",,,,,,,,,,,,,,
Heart,ERBB2,-0.3428184,30.4279404,0.42044135,0.57798606,0.18610847,-0.5128149,U,0.87776393,,,,,,,,,,,,,,,,
Heart,PTPN11,-0.8764628,22.7574577,0.05342625,0.57454932,0.18892207,-0.5525797,P,0.87465709,,,,,,,,,,,,,,,,
Heart,GNAQ,-1.3885273,6.40114641,0.00232288,0.58082247,0.19359374,-0.5397828,P,0.87238598,,,,,,,,,,,,,,,,
Heart,DAG1,-0.1009209,38.0466881,0.52380952,0.52303714,0.2007289,-0.5366235,U,0.86953777,,,,,,,,,,,,,,,,
Heart,GATA6,0.67023146,29.8984394,0.98373984,0.4372623,0.23798965,-0.5014014,P,0.8691569,,,,,,,,,,,,,,,,
Heart,FLNC,0.81120831,403.856415,0.97444832,1.7336874,0.22105003,-0.5122956,U,0.86262739,,,,,,,,,,,,,,,,
Heart,CAV1,-0.3135566,116.935905,0.4912892,0.56024134,0.19204786,-0.576816,U,0.86195594,,,,,,,,,,,,,,,,
Heart,CALM1,-0.5921738,111.547295,0.06620209,0.41926429,0.17294668,-0.5697363,U,0.86040753,,,,,,,,,,,,,,,,
Heart,TCAP,1.66623664,1509.80139,1,0.56864607,0.50280681,0.14831835,P,0.8566432,,,,,,,,,,,,,,,,
Heart,LRP1,-0.5062123,47.8235397,0.22880372,0.71002364,0.18618992,-0.5551631,N,0.85420322,,,,,,,,,,,,,,,,
Heart,CALR,-0.4129735,246.32019,0.23925668,0.72936237,0.19969256,-0.5491471,N,0.85167819,,,,,,,,,,,,,,,,
Heart,FKTN,-0.872948,2.95615315,0.03135889,0.49184552,0.19628339,-0.513313,P,0.83415169,,,,,,,,,,,,,,,,
Heart,ANK2,-0.0206686,13.634819,0.7398374,0.57154131,0.27175229,-0.4241246,P,0.83085132,,,,,,,,,,,,,,,,
Heart,ESRRB,0.71090525,1.5787499,0.96399535,0.66440684,0.23866896,-0.4511918,U,0.82877773,,,,,,,,,,,,,,,,
Heart,TECRL,3.55714464,119.581818,1,0.67833406,0.00116144,-0.8261819,U,0.8286925,,,,,,,,,,,,,,,,
Heart,SRF,-0.135841,51.2486038,0.6213705,0.5233658,0.19595995,-0.5621224,U,0.82246459,,,,,,,,,,,,,,,,
Heart,JPH2,0.46241426,45.5430641,0.96980256,0.56177163,0.26234884,-0.4493254,P,0.81967854,,,,,,,,,,,,,,,,
Heart,CRYAB,2.05197096,1986.16125,0.94657375,0.87839001,0.23711913,-0.4455379,P,0.81651711,,,,,,,,,,,,,,,,
Heart,ECE1,-0.5614353,44.6021881,0.16608595,0.53112882,0.20218351,-0.6467879,P,0.81590325,,,,,,,,,,,,,,,,
Heart,DMD,0.00640059,10.4767618,0.77003484,0.63300461,0.2492272,-0.4808464,P,0.8131302,,,,,,,,,,,,,,,,
Heart,EYA4,0.3702521,3.49551558,0.92334495,0.71522033,0.18883082,-0.5172957,P,0.81198579,,,,,,,,,,,,,,,,
