Tissue,Transcription Factor,FUGUE Score,,,,,,,
Testis,SOX3,0.925135136,,,,,,,
Testis,CPEB1,0.924545884,,,,,,,
Testis,HMGA1,0.923122823,,,,,,,
Thyroid,SMAD3,0.933920562,,,,,,,
Thyroid,PKNOX1,0.918623984,,,,,,,
Thyroid,NKX2-1,0.917559683,,,,,,,
Thyroid,BHLHE41,0.9107458,,,,,,,
Thyroid,HHEX,0.909767926,,,,,,,
Thyroid,XPA,0.904929817,,,,,,,
Thyroid,TBX3,0.900499046,,,,,,,
Thyroid,MZF1,0.893508375,,,,,,,
Thyroid,IRF3,0.891236067,,,,,,,
Thyroid,ZNF384,0.887187302,,,,,,,
Thyroid,HSF1,0.885801911,,,,,,,
Thyroid,PCGF2,0.885329425,,,,,,,
Thyroid,PAX8,0.883588016,,,,,,,
Thyroid,MBD2,0.882396102,,,,,,,
Thyroid,RELA,0.878024995,,,,,,,
Thyroid,ZBED3,0.877379954,,,,,,,
Thyroid,PHF1,0.868058622,,,,,,,
Thyroid,STAT3,0.86754632,,,,,,,
Thyroid,FOXE1,0.865664899,,,,,,,
Thyroid,MBD6,0.865148842,,,,,,,
Thyroid,NFE2L2,0.86499846,,,,,,,
Uterus,SRF,0.949127078,,,,,,,
Uterus,HAND2,0.941769004,,,,,,,
Uterus,PGR,0.939315438,,,,,,,
Uterus,CENPT,0.932421446,,,,,,,
Uterus,GATA2,0.912563622,,,,,,,
Uterus,NFKB1,0.909359515,,,,,,,
Uterus,MEIS2,0.90657419,,,,,,,
Uterus,FOXO1,0.90601939,,,,,,,
Uterus,ZNF260,0.902479947,,,,,,,
Uterus,STAT3,0.899070084,,,,,,,
Uterus,WT1,0.898739576,,,,,,,
Uterus,PBX1,0.888976216,,,,,,,
Uterus,TBX2,0.869561195,,,,,,,
Uterus,E2F4,0.864132822,,,,,,,
Uterus,IRF3,0.861185133,,,,,,,
Uterus,ZNF362,0.860786557,,,,,,,
Uterus,HOXA10,0.860682726,,,,,,,
Uterus,SALL1,0.857341588,,,,,,,
Uterus,HOXD9,0.855886281,,,,,,,
Uterus,MITF,0.851346135,,,,,,,
Uterus,NR2F2,0.849713624,,,,,,,
Vagina,RELA,0.954133034,,,,,,,
Vagina,SMAD3,0.95396781,,,,,,,
Vagina,AR,0.950652897,,,,,,,
Vagina,SMAD4,0.946956575,,,,,,,
Vagina,ESR1,0.940204084,,,,,,,
Vagina,MAX,0.921419322,,,,,,,
Vagina,SP1,0.921382487,,,,,,,
Vagina,STAT3,0.913298965,,,,,,,
Vagina,NFKB1,0.908459842,,,,,,,
Vagina,ARNT,0.905898273,,,,,,,
Vagina,IRF3,0.905549228,,,,,,,
Vagina,SETDB1,0.901231885,,,,,,,
Vagina,HES1,0.898830712,,,,,,,
Vagina,LHX4,0.898698986,,,,,,,
Vagina,GRHL1,0.898605287,,,,,,,
Vagina,MEIS2,0.896228552,,,,,,,
Vagina,STAT6,0.893147767,,,,,,,
Vagina,ZNF511,0.889482617,,,,,,,
Vagina,TP53,0.88797009,,,,,,,
Vagina,STAT5B,0.887623549,,,,,,,
Vagina,REL,0.887375772,,,,,,,
