Tissue,Transcription Factor,FUGUE Score,,,,,,,
Brain,FOXG1,0.936089337,,,,,,,
Brain,OLIG2,0.931810915,,,,,,,
Brain,SETDB1,0.929394543,,,,,,,
Brain,PURA,0.928577006,,,,,,,
Breast,NR1H3,0.918478072,,,,,,,
Breast,ZNF3,0.917828858,,,,,,,
Breast,ZNF621,0.912158906,,,,,,,
Breast,NFKB1,0.911192656,,,,,,,
Breast,STAT5A,0.897951782,,,,,,,
Breast,MYSM1,0.894828498,,,,,,,
Breast,STAT3,0.893693447,,,,,,,
Breast,SRCAP,0.890778422,,,,,,,
Breast,ALX4,0.890509665,,,,,,,
Breast,TGIF1,0.889447808,,,,,,,
Breast,RELA,0.883490682,,,,,,,
Breast,TBX3,0.881327689,,,,,,,
Breast,TWIST1,0.880898952,,,,,,,
Breast,XBP1,0.877167106,,,,,,,
Breast,ZNF561,0.87189281,,,,,,,
Breast,SP3,0.870871603,,,,,,,
Breast,TFAP2B,0.868266821,,,,,,,
Breast,REST,0.866689324,,,,,,,
Breast,HSF1,0.866350651,,,,,,,
Breast,SMAD4,0.865375578,,,,,,,
Breast,AR,0.865000606,,,,,,,
Cervix_Uteri,PBX1,0.952016413,,,,,,,
Cervix_Uteri,NR2F1,0.951295674,,,,,,,
Cervix_Uteri,AR,0.942242742,,,,,,,
Cervix_Uteri,ARNT,0.934929371,,,,,,,
Cervix_Uteri,STAT2,0.931095004,,,,,,,
Cervix_Uteri,HOXD9,0.918434024,,,,,,,
Cervix_Uteri,CREBZF,0.917168975,,,,,,,
Cervix_Uteri,SMAD3,0.916813493,,,,,,,
Cervix_Uteri,SMAD4,0.907814801,,,,,,,
Cervix_Uteri,MAF,0.903995395,,,,,,,
Cervix_Uteri,ESR1,0.903754532,,,,,,,
Cervix_Uteri,MEIS2,0.897926033,,,,,,,
Cervix_Uteri,TP53,0.883006275,,,,,,,
Cervix_Uteri,IRF3,0.882247806,,,,,,,
Cervix_Uteri,SNAI2,0.881543934,,,,,,,
Cervix_Uteri,STAT3,0.876412451,,,,,,,
Cervix_Uteri,STAT5B,0.873976111,,,,,,,
Cervix_Uteri,HIC1,0.871648729,,,,,,,
Cervix_Uteri,TEAD3,0.87032187,,,,,,,
Cervix_Uteri,SAFB2,0.866788208,,,,,,,
Cervix_Uteri,SOX4,0.866028309,,,,,,,
Colon,FOXF1,0.969450891,,,,,,,
Colon,PBX3,0.963412941,,,,,,,
Colon,MEIS2,0.955885112,,,,,,,
Colon,HOXD13,0.95116204,,,,,,,
Colon,HNF4A,0.944824696,,,,,,,
Colon,FOXP2,0.93023777,,,,,,,
Colon,RELA,0.930197537,,,,,,,
Colon,HAND1,0.919611812,,,,,,,
Colon,FOXP1,0.918412387,,,,,,,
Colon,SATB1,0.918211222,,,,,,,
Colon,HOXA9,0.917991877,,,,,,,
Colon,HOXA10,0.915856361,,,,,,,
